post_id,account_id,account_username,account_name,description,duration_sec,publish_time,permalink,post_type,data_comment,date,views,reach,likes,shares,follows,comments,saves,unnamed_18,unnamed_19,unnamed_20
18520624333007112,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoo",15,09/03/2025 15:28,https://www.instagram.com/reel/DOKCeK4kkJ9/,IG reel,,Lifetime,4100,3279,108,13,8,2,16,,,
17922515376015375,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie",11,09/03/2025 15:27,https://www.instagram.com/reel/DOKCZ2PEkYf/,IG reel,,Lifetime,24768,14774,557,24,28,23,36,,,
17855446047455308,17841472782106936,v2byvelare,,"out now 💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",33,08/30/2025 3:32,https://www.instagram.com/reel/DN-dUfsjrly/,IG reel,,Lifetime,19618,14752,389,17,84,7,45,,,
18370855285194070,17841472782106936,v2byvelare,,"lmk lmk :)

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",14,08/29/2025 14:01,https://www.instagram.com/reel/DN9ATO0Ej0V/,IG reel,,Lifetime,1498,1260,23,2,2,1,4,,,
17944698711040682,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",18,08/29/2025 10:09,https://www.instagram.com/reel/DN8mABaEf0S/,IG reel,,Lifetime,16052,12024,142,13,28,3,12,,,
18065998442517890,17841472782106936,v2byvelare,,"so much meaning 🥹💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",10,08/25/2025 22:57,https://www.instagram.com/reel/DNzqtO92pNc/,IG reel,,Lifetime,29233,15504,477,25,17,88,37,,,
18100213495613431,17841472782106936,v2byvelare,,"what’d i miss 

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",13,08/25/2025 21:06,https://www.instagram.com/reel/DNzd_kR2OSf/,IG reel,,Lifetime,27108,15157,520,11,15,24,39,,,
17874348480303291,17841472782106936,v2byvelare,,"i think the left one

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",15,08/24/2025 20:36,https://www.instagram.com/reel/DNw1ub62IPE/,IG reel,,Lifetime,1439,1154,28,2,3,0,0,,,
17930176257096207,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",12,08/24/2025 9:01,https://www.instagram.com/reel/DNvmPZdWqtc/,IG reel,,Lifetime,42221,26023,429,32,27,50,52,,,
17945194035042751,17841472782106936,v2byvelare,,"hoodie by me :)

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork",9,08/23/2025 11:05,https://www.instagram.com/reel/DNtPoPp4s_u/,IG reel,,Lifetime,12340,6541,181,16,8,43,19,,,
17983891826851638,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",12,08/23/2025 8:58,https://www.instagram.com/reel/DNtBEsAWlvF/,IG reel,,Lifetime,12969,7146,254,34,6,15,27,,,
18474893635073544,17841472782106936,v2byvelare,,"here come the “day 2 fit better” comments

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork",8,08/22/2025 22:09,https://www.instagram.com/reel/DNr21hAWH6v/,IG reel,,Lifetime,22022,13445,759,17,19,5,35,,,
18005668949632494,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",8,08/22/2025 22:08,https://www.instagram.com/reel/DNr2wOC2BlU/,IG reel,,Lifetime,34177,19667,338,40,30,25,32,,,
18090917530686620,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",33,08/22/2025 20:00,https://www.instagram.com/reel/DNroCa0WETM/,IG reel,,Lifetime,34501,25800,652,22,166,12,69,,,
18056782025128020,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",11,08/22/2025 15:31,https://www.instagram.com/reel/DNrJS0_5CGh/,IG reel,,Lifetime,11497,6293,172,12,4,17,14,,,
